stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type,radius
9227211,Si2711,"Kyläkirkko","Rajakulmantie",60.471717,25.203932,D,http://aikataulut.hsl.fi/pysakit/fi/9227211.html,0, ,0, ,3,80
9227212,Si2712,"Widegård","Rajakulmantie",60.472927,25.209372,D,http://aikataulut.hsl.fi/pysakit/fi/9227212.html,0, ,0, ,3,80
9227213,Si2713,"Widegård","Linsvedintie",60.473458,25.211468,D,http://aikataulut.hsl.fi/pysakit/fi/9227213.html,0, ,0, ,3,80
9227214,Si2714,"Norra Paipis skola","Paippistentie",60.471130,25.213387,D,http://aikataulut.hsl.fi/pysakit/fi/9227214.html,0, ,0, ,3,80
9227215,Si2715,"Norra Paipis skola","Paippistentie",60.471467,25.213445,D,http://aikataulut.hsl.fi/pysakit/fi/9227215.html,0, ,0, ,3,80
9227216,Si2716,"Björkmontie","Paippistentie",60.467624,25.216748,D,http://aikataulut.hsl.fi/pysakit/fi/9227216.html,0, ,0, ,3,80
9227217,Si2717,"Björkmontie","Paippistentie",60.466915,25.217120,D,http://aikataulut.hsl.fi/pysakit/fi/9227217.html,0, ,0, ,3,80
9227218,Si2718,"Fredsbackantie","Linsvedintie",60.475422,25.216608,D,http://aikataulut.hsl.fi/pysakit/fi/9227218.html,0, ,0, ,3,80
9227219,Si2719,"Fredsbackantie","Linsvedintie",60.475500,25.217918,D,http://aikataulut.hsl.fi/pysakit/fi/9227219.html,0, ,0, ,3,80
9227220,Si2720,"Mosantie","Paippistentie",60.461040,25.218560,D,http://aikataulut.hsl.fi/pysakit/fi/9227220.html,0, ,0, ,3,80
9227221,Si2721,"Mosantie","Paippistentie",60.461243,25.218707,D,http://aikataulut.hsl.fi/pysakit/fi/9227221.html,0, ,0, ,3,80
9227222,Si2722,"Bastnäsintie","Linsvedintie",60.475795,25.226008,D,http://aikataulut.hsl.fi/pysakit/fi/9227222.html,0, ,0, ,3,80
9227223,Si2723,"Bastnäsintie","Linsvedintie",60.475468,25.226860,D,http://aikataulut.hsl.fi/pysakit/fi/9227223.html,0, ,0, ,3,80
9228201,Si2801,"Sommarnäsintie","Nikkiläntie",60.370982,25.297348,D,http://aikataulut.hsl.fi/pysakit/fi/9228201.html,0, ,0, ,3,80
9228202,Si2802,"Sommarnäsintie","Nikkiläntie",60.370258,25.297900,D,http://aikataulut.hsl.fi/pysakit/fi/9228202.html,0, ,0, ,3,80
9228204,Si2804,"Ollkärrintie","Nikkiläntie",60.367626,25.301256,D,http://aikataulut.hsl.fi/pysakit/fi/9228204.html,0, ,0, ,3,80
9228205,Si2805,"Ollkärrintie","Nikkiläntie",60.367271,25.301548,D,http://aikataulut.hsl.fi/pysakit/fi/9228205.html,0, ,0, ,3,80
9228206,Si2806,"Lehtikuusentie","Öljytie",60.368545,25.320832,D,http://aikataulut.hsl.fi/pysakit/fi/9228206.html,0, ,0, ,3,80
9228207,Si2807,"Lillängintie","Öljytie",60.369930,25.328368,D,http://aikataulut.hsl.fi/pysakit/fi/9228207.html,0, ,0, ,3,80
9228208,Si2808,"Vanha Kuninkaantie","Öljytie",60.370810,25.334920,D,http://aikataulut.hsl.fi/pysakit/fi/9228208.html,0, ,0, ,3,80
9228209,Si2809,"Herralantie","Vanha Kuninkaantie",60.372538,25.338537,D,http://aikataulut.hsl.fi/pysakit/fi/9228209.html,0, ,0, ,3,80
9228210,Si2810,"Lugnnäsintie","Vanha Kuninkaantie",60.374632,25.343212,D,http://aikataulut.hsl.fi/pysakit/fi/9228210.html,0, ,0, ,3,80
9228211,Si2811,"Notkotie","Vanha Kuninkaantie",60.375512,25.353321,D,http://aikataulut.hsl.fi/pysakit/fi/9228211.html,0, ,0, ,3,80
9229201,Si2901,"Rajaveräjänmäki","Paippistentie",60.398830,25.268908,D,http://aikataulut.hsl.fi/pysakit/fi/9229201.html,0, ,0, ,3,80
9229202,Si2902,"Rajaveräjänmäki","Paippistentie",60.398647,25.269158,D,http://aikataulut.hsl.fi/pysakit/fi/9229202.html,0, ,0, ,3,80
9229203,Si2903,"Jokitörmä","Pornaistentie",60.390658,25.291292,D,http://aikataulut.hsl.fi/pysakit/fi/9229203.html,0, ,0, ,3,80
9229204,Si2904,"Jokitörmä","Pornaistentie",60.390917,25.291257,D,http://aikataulut.hsl.fi/pysakit/fi/9229204.html,0, ,0, ,3,80
9229205,Si2905,"Björkbacka","Pornaistentie",60.392832,25.295147,D,http://aikataulut.hsl.fi/pysakit/fi/9229205.html,0, ,0, ,3,80
9229206,Si2906,"Björkbacka","Pornaistentie",60.393408,25.296543,D,http://aikataulut.hsl.fi/pysakit/fi/9229206.html,0, ,0, ,3,80
9229207,Si2907,"Lindnäs","Pornaistentie",60.395527,25.298033,D,http://aikataulut.hsl.fi/pysakit/fi/9229207.html,0, ,0, ,3,80
9229208,Si2908,"Lindnäs","Pornaistentie",60.396172,25.298523,D,http://aikataulut.hsl.fi/pysakit/fi/9229208.html,0, ,0, ,3,80
9300201,Po3001,"Porvoo linja-autoas.","Lundinkatu",60.393097,25.663585,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300201.html,0, ,0,8,3,80
9300202,Po3002,"Hinthaara","Kuninkaantie",60.399830,25.480889,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300202.html,0, ,0, ,3,40
9300203,Po3003,"Hinthaara","Kuninkaantie",60.399923,25.480410,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300203.html,0, ,0, ,3,40
9300204,Po3004,"Porvoo linja-autoas.","Lundinkatu",60.393117,25.663927,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300204.html,0, ,0,1-2,3,40
9300206,Po3006,"Högvalla th","Kuninkaantie",60.399468,25.490812,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300206.html,0, ,0, ,3,80
9300207,Po3007,"Högvalla th","Kuninkaantie",60.399521,25.491338,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300207.html,0, ,0, ,3,80
9300208,Po3008,"Böle","Kuninkaantie",60.397968,25.504043,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300208.html,0, ,0, ,3,40
9300209,Po3009,"Böle","Kuninkaantie",60.398088,25.509397,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300209.html,0, ,0, ,3,40
9300210,Po3010,"Lammiskärrintie","Kuninkaantie",60.396853,25.518776,Ei HSL,http://aikataulut.hsl.fi/pysakit/fi/9300210.html,0, ,0, ,3,40
