route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1080,HSL,80,Herttoniemi(M)-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/b80.html
1081,HSL,81,Kulosaari-Herttoniemi(M)-Länsi-Herttoniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b81.html
1082,HSL,82,Herttoniemi(M)-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/h82_82b.html
1082B,HSL,82B,Herttoniemi (M)-Tammisalo-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/h82_82b.html
1083,HSL,83,Herttoniemi(M)-Tammisalo-Herttoniemi(M),,701,http://aikataulut.hsl.fi/linjat/fi/b83.html
1084,HSL,84,Herttoniemi(M)-Gunillankallio,,701,http://aikataulut.hsl.fi/linjat/fi/b84.html
1085,HSL,85,Herttoniemi(M)-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/h85_85b.html
1085K,HSL,85K,Herttoniemi(M)-Yliskylä-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/b85K.html
1085N,HSL,85N,Rautatientori-Herttoniemenranta-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/h85n.html
1086,HSL,86,Herttoniemi(M)-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/b86.html
1086K,HSL,86K,Herttoniemi (M)-Laajasalo-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/b86K.html
1086N,HSL,86N,Rautatientori-Kulosaari-Herttoniemi-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/h86n.html
1087,HSL,87,Herttoniemi(M) - Kruunuvuorenranta,,701,http://aikataulut.hsl.fi/linjat/fi/b87.html
1087N,HSL,87N,Rautatientori-Yliskylä-Kruunuvuorenranta,,701,http://aikataulut.hsl.fi/linjat/fi/b87N.html
1088,HSL,88,Herttoniemi(M) - Kaitalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b88.html
1089,HSL,89,Herttoniemi (M)-Yliskylä,,701,http://aikataulut.hsl.fi/linjat/fi/b89.html
1090,HSL,90,Vuosaari (M)-Aurinkolahti-Vuosaaren satama,,701,http://aikataulut.hsl.fi/linjat/fi/b90.html
1090A,HSL,90A,Rautatientori-Vuosaaren satama,,701,http://aikataulut.hsl.fi/linjat/fi/h90a.html
1090N,HSL,90N,Rautatientori-Länsi-Herttoniemi-Vuosaari (Kallvikintie),,701,http://aikataulut.hsl.fi/linjat/fi/h90n.html
1092,HSL,92,Itäkeskus(M)-Myllypuro,,701,http://aikataulut.hsl.fi/linjat/fi/b92.html
1092N,HSL,92N,Rautatientori-Myllypuro-Kivikko-Kontula (Keinutie),,701,http://aikataulut.hsl.fi/linjat/fi/h92n.html
1094,HSL,94,Itäkeskus(M)-Porttitie-Kontula(M)-Kontulankaari,,701,http://aikataulut.hsl.fi/linjat/fi/h94.html
1094A,HSL,94A,Kotikonnuntie-Kontula(M)-Kivikko-Kontula(M),,701,http://aikataulut.hsl.fi/linjat/fi/h94a.html
1094B,HSL,94B,Kivikonlaita-Kontula(M),,701,http://aikataulut.hsl.fi/linjat/fi/h94b.html
1094N,HSL,94N,Rautatientori-Roihuvuori-Kontulankaari,,701,http://aikataulut.hsl.fi/linjat/fi/h94n.html
1095,HSL,95,Itäkeskus(M)-Mellunmäki(M)-Kontula(M)-Keinutie,,701,http://aikataulut.hsl.fi/linjat/fi/b95.html
1095N,HSL,95N,Rautatientori-Tammisalo-Roihuv.-Mellunmäki-Länsimäki,,701,http://aikataulut.hsl.fi/linjat/fi/h95n.html
1096,HSL,96,Vuosaari(M)-Porslahdentie,,701,http://aikataulut.hsl.fi/linjat/fi/b96.html
1096N,HSL,96N,Rautatientori-Aurinkolahti-Vuosaari(Porslahdentie),,701,http://aikataulut.hsl.fi/linjat/fi/h96n.html
1097,HSL,97,Itäkeskus(M)-Vartioharju-Mellunmäki(M),,701,http://aikataulut.hsl.fi/linjat/fi/h97_97v.html
1097N,HSL,97N,Rautatient.-Puotila-Mellunmäki(M)-Kontula (Kotikonnuntie),,701,http://aikataulut.hsl.fi/linjat/fi/h97n.html
1097V,HSL,97V,Itäkeskus(M)-Puotila-Vartioharju-Mellunmäki(M),,701,http://aikataulut.hsl.fi/linjat/fi/h97_97v.html
1098,HSL,98,Itäkeskus(M)-Marjaniemi-Rastila(M),,701,http://aikataulut.hsl.fi/linjat/fi/b98.html
1099V,HSL,99V,Itäkeskus(M)-Vuosaari(M),,701,http://aikataulut.hsl.fi/linjat/fi/b99V.html
1500,HSL,500,Itäkeskus(M)-Pasila-Munkkivuori,,702,http://aikataulut.hsl.fi/linjat/fi/b500.html
1500N,HSL,500N,Itäkeskus(M)-Pasila-Munkkivuori,,701,http://aikataulut.hsl.fi/linjat/fi/b500N.html
1506,HSL,506,Myllypuro(M)-Viikki-Kumpula-Pasila-Ruskeasuo,,701,http://aikataulut.hsl.fi/linjat/fi/b506.html
1603,HSL,603,Malmi-Oulunkylä-Koskela-Käpylä-Maunula-Pakila-Paloheinä,,704,http://aikataulut.hsl.fi/linjat/fi/b603.html
1701,HSL,701,Viikki-Pihlajamäki-Malmi-Suutarila-Siltamäki,,704,http://aikataulut.hsl.fi/linjat/fi/b701.html
1702,HSL,702,Jakomäki-Puistola-Malmi-Tapaninvainio-Savela,,704,http://aikataulut.hsl.fi/linjat/fi/b702.html
1704,HSL,704,Malmi-Sepänmäki,,704,http://aikataulut.hsl.fi/linjat/fi/b704.html
1802,HSL,802,Itäkeskus(M)-Jollas,,704,http://aikataulut.hsl.fi/linjat/fi/b802.html
1805,HSL,805,Itäkeskus (M)-Myllypuro,,704,http://aikataulut.hsl.fi/linjat/fi/b805.html
1812,HSL,812,Mellunmäki-Myllypuro,,704,http://aikataulut.hsl.fi/linjat/fi/b812.html
1813,HSL,813,Vuosaari(M)-Merikorttikuja,,704,http://aikataulut.hsl.fi/linjat/fi/b813.html
1814,HSL,814,Vuosaari(M)-Koukkusaarentie-Pohjoinen ostoskeskus,,704,http://aikataulut.hsl.fi/linjat/fi/b814.html
1815,HSL,815,Vuosaari(M)-Isonvillasaarentie,,704,http://aikataulut.hsl.fi/linjat/fi/b815.html
